PARK_NO,LOCATION,CITY,STATE,ZIP,PARK
417,5949 W HURON ST,Chicago,IL,60644,HAZELNUT
419,8001 S WABASH AVE,Chicago,IL,60619,PARK NO. 419
420,5554 N MAGNOLIA AVE,Chicago,IL,60640,COCHRAN (JOHN)
421,5300 S HALSTED ST,Chicago,IL,60609,PARK NO. 421
422,3200 W CONGRESS PKWY,Chicago,IL,60624,PARK NO. 422
423,2021 N BURLING ST,Chicago,IL,60614,OZ
424,4706 N PULASKI RD,Chicago,IL,60630,SPIKINGS FARM
425,2645 N SHEFFIELD AVE,Chicago,IL,60614,NOETHLING (GRACE)
426,3501 S RICHMOND ST,Chicago,IL,60632,BRIGHTON
427,4807 W GUNNISON ST,Chicago,IL,60630,ASHMORE
428,6621 N WESTERN AVE,Chicago,IL,60645,WARREN (LAURENCE)
429,7059 S SOUTH SHORE DR,Chicago,IL,60649,SOUTH SHORE CULTL. CTR.
430,650 N LEAMINGTON AVE,Chicago,IL,60644,SWEET CLOVER
431,2554 W MOFFAT ST,Chicago,IL,60647,FLOWER (LUCY)
432,3349 W RICE ST,Chicago,IL,60651,PARK NO. 432
433,2533 N SACRAMENTO AVE,Chicago,IL,60647,NEIGHBORS' GARDEN
434,7687 S SOUTH CHICAGO AVE,Chicago,IL,60619,ESSEX
435,5400 N BROADWAY,Chicago,IL,60640,BROMANN (CHARLES)
436,100 W 66TH ST,Chicago,IL,60621,PERIWINKLE
437,5653 S LOOMIS ST,Chicago,IL,60636,PARK NO. 437
440,5558 S GREEN ST,Chicago,IL,60621,LUNA
441,6931 S DAMEN AVE,Chicago,IL,60636,DREXEL (FRANCIS)
459,2701 E 74TH ST,Chicago,IL,60649,ASHE (ARTHUR) BEACH
443,4446-58 S. EMERALD AVE,Chicago,IL,60609,MCINERNEY (THOMAS)
446,1400 W 109TH ST,Chicago,IL,60643,LAMB (HAROLD)
447,922 W FLETCHER ST,Chicago,IL,60657,MARTIN (JOHNNY)
448,4196 S STATE ST,Chicago,IL,60609,METCALFE (RALPH)
449,1747 W NELSON ST,Chicago,IL,60657,WIEBOLDT (WILLIAM)
450,1257 W COLUMBIA AVE,Chicago,IL,60626,LAZARUS (EMMA)
451,300 W 24TH PL,Chicago,IL,60616,SUN YAT-SEN
452,5801 N PULASKI RD,Chicago,IL,60646,PETERSON (PEHR SAMUEL)
453,2754 S TRUMBULL AVE,Chicago,IL,60623,MIAMI
455,2238 N OAKLEY AVE,Chicago,IL,60647,SENIOR CITIZENS MEML.
457,3400 N ROCKWELL AVE,Chicago,IL,60618,CLARK (RICHARD)
490,9516 S WOOD ST,Chicago,IL,60643,RIDGE PARK WETLANDS
462,5917 N BROADWAY,Chicago,IL,60660,BROADWAY ARMORY
464,6239 N MCCLELLAN AVE,Chicago,IL,60646,QUINN (MARY)
465,865 S PARK TER,Chicago,IL,60605,DEARBORN (HENRY)
466,62 W ROOSEVELT RD,Chicago,IL,60605,ROOSEVELT (THEODORE)
468,4556 W 56TH ST,Chicago,IL,60629,PARK NO. 468
472,5445 N CHESTER ST,Chicago,IL,60656,GRANDPARENTS'
474,3231 W DOUGLAS BLVD,Chicago,IL,60616,PARK NO. 474
476,401 E RIVER DR,Chicago,IL,60611,RIVER ESPLANADE
477,429 N COLUMBUS DR,Chicago,IL,60611,OGDEN (WILLIAM) PLAZA
478,401 N LAKE SHORE DR,Chicago,IL,60611,DUSABLE (JEAN BAPTISTE POINTE)
479,1240 S PLYMOUTH CT,Chicago,IL,60616,JONES (MARY RICHARDSON)
480,44 W 15TH ST,Chicago,IL,60616,COTTON TAIL
481,300 W 18TH ST,Chicago,IL,60616,TOM (PING) MEML.
482,1833 E 71ST ST,Chicago,IL,60649,NASH (DON) COMM. CTR.
484,4701 W MARQUETTE RD,Chicago,IL,60638,"MADIGAN (MICHAEL J., SR.)"
501,4701 W BELMONT AVE,Chicago,IL,60641,PARSONS (LUCY)
485,4434 S LAKE PARK AVE,Chicago,IL,60653,KENNICOTT (JONATHAN)
486,5001 N LEAVITT ST,Chicago,IL,60625,WINNEMAC
487,4437 N MAGNOLIA AVE,Chicago,IL,60640,BRONCHO BILLY
488,1100 W IRVING PARK RD,Chicago,IL,60613,CHALLENGER
492,4433 S ST LAWRENCE,Chicago,IL,60653,ARMSTRONG (LILLIAN HARDIN)
493,3800 N SEMINARY AVE,Chicago,IL,60613,KELLY (JOHN)
494,5200 S HYDE PARK BLVD,Chicago,IL,60615,WASHINGTON (HAROLD)
496,3601 W ARTHINGTON ST,Chicago,IL,60624,"BOLER (LEO ROSCOE, SR.)"
497,2306 W MAYPOLE AVE,Chicago,IL,60612,STARR (ELLEN GATES)
1018,3225 S RACINE AVE,Chicago,IL,60608,WILSON (JOHN) COMM. CTR.
499,3925 E 104TH ST,Chicago,IL,60617,"BENIAC (JOHN ""BEANS"") GREENWAY"
502,2701 S ASHLAND AVE,Chicago,IL,60608,CANAL ORIGINS
513,1401 S INDIANA AVE,Chicago,IL,60605,WEBSTER (DANIEL)
514,1434 N MONTICELLO AVE,Chicago,IL,60651,PARK NO. 514
1161,2941 N WASHTENAW AVE,Chicago,IL,60618,ALGONQUIN
500,730 S SPRINGFIELD AVE,Chicago,IL,60624,PARK NO. 500
503,8900 S GREEN BAY AVE,Chicago,IL,60617,SCHAFER (CLARA D.)
