total_docks,latitude,station_name,longitude,id,docks_in_service,status,short_name,geometry,index_right,statefp10,name10,commarea_n,namelsad10,commarea,geoid10,notes,tractce10,countyfp10
15,41.934457,Kenosha Ave & Wellington Ave,-87.733795,1861997616150114834,15,In Service,21361,POINT (-87.733795 41.934457),417.0,17,2001,20,Census Tract 2001,20,17031200100,,200100,031
9,41.934586,Oak Park & Wellington,-87.7959613,1563698718386161690,9,In Service,,POINT (-87.7959613 41.934586),403.0,17,1801,18,Census Tract 1801,18,17031180100,,180100,031
9,41.793357,Kildare Ave & 55th St,-87.730598,1593766338948359064,9,In Service,,POINT (-87.730598 41.793357),794.0,17,6202,62,Census Tract 6202,62,17031620200,,620200,031
15,41.838464,Shields Ave & 31st St,-87.635406,a3ad1900-a135-11e9-9cda-0a87ae2ba916,15,In Service,KA1503000038,POINT (-87.635406 41.838464),386.0,17,3403,34,Census Tract 3403,34,17031340300,,340300,031
15,41.834734,State St & 33rd St,-87.625813,a3a634dd-a135-11e9-9cda-0a87ae2ba916,15,In Service,13216,POINT (-87.625813 41.834734),24.0,17,8420,35,Census Tract 8420,35,17031842000,,842000,031
9,41.866554,Whipple St & Roosevelt Rd,-87.701329,1594046405283107532,9,In Service,,POINT (-87.701329 41.866554),35.0,17,8386,29,Census Tract 8386,29,17031838600,,838600,031
11,41.779374,Ashland Ave & 63rd St,-87.664843,a3b23785-a135-11e9-9cda-0a87ae2ba916,11,In Service,16948,POINT (-87.664843 41.779374),283.0,17,6712,67,Census Tract 6712,67,17031671200,,671200,031
11,41.792822,Ashland Ave & Garfield Blvd,-87.664429,a3b21de7-a135-11e9-9cda-0a87ae2ba916,11,In Service,16943,POINT (-87.664429 41.792822),394.0,17,6702,67,Census Tract 6702,67,17031670200,,670200,031
10,41.705588,Maryland Ave & 104th St,-87.602938,1448642183732401788,10,In Service,,POINT (-87.602938 41.705588),264.0,17,5002,50,Census Tract 5002,50,17031500200,,500200,031
8,41.917805,W Armitage Ave & N Sheffield Ave,-87.653449,1436495105198659242,8,In Service,,POINT (-87.653449 41.917805),176.0,17,8326,7,Census Tract 8326,7,17031832600,,832600,031
9,41.9058405,Leamington Ave & Hirsch St,-87.7548602,1575949502388630222,9,In Service,,POINT (-87.7548602 41.9058405),612.0,17,2508,25,Census Tract 2508,25,17031250800,,250800,031
15,41.93132,Stockton Dr & Wrightwood Ave,-87.638742,a3aaaba2-a135-11e9-9cda-0a87ae2ba916,15,In Service,13276,POINT (-87.638742 41.93132),105.0,17,701.01,7,Census Tract 701.01,7,17031070101,,070101,031
12,41.779953,Hamlin Ave & 62nd Pl,-87.7178221,1594041777104953206,12,In Service,,POINT (-87.7178221 41.779953),342.0,17,6501,65,Census Tract 6501,65,17031650100,,650100,031
9,41.9449659,Oketo Ave & Addison St,-87.8118989,1571105042230683636,9,In Service,,POINT (-87.8118989 41.9449659),464.0,17,1708,17,Census Tract 1708,17,17031170800,,170800,031
31,41.891466,Wabash Ave & Grand Ave,-87.626761,a3a79fdc-a135-11e9-9cda-0a87ae2ba916,31,In Service,TA1307000117,POINT (-87.626761 41.891466),636.0,17,815,8,Census Tract 815,8,17031081500,,081500,031
