id,address,status,match_quality,matched_address,tiger_line_id,tiger_side,state,county,tract,block,longitude,latitude
1127,"1331 S MILLARD AVE, Chicago, IL, 60623",Match,Exact,"1331 S MILLARD AVE, CHICAGO, IL, 60623",605095302.0,L,17.0,31.0,838700.0,1018.0,-87.71649904616771,41.86410344682838
1248,"1040 W ALBION AVE, Chicago, IL, 60626",Match,Exact,"1040 W ALBION AVE, CHICAGO, IL, 60626",111745760.0,R,17.0,31.0,10400.0,3001.0,-87.65818548406605,42.00264640321802
1005,"346 W 104TH ST, Chicago, IL, 60628",Match,Exact,"346 W 104TH ST, CHICAGO, IL, 60628",605524286.0,R,17.0,31.0,491000.0,4004.0,-87.63121731074102,41.705299053194494
1126,"2131 E 96TH ST, Chicago, IL, 60617",Match,Exact,"2131 E 96TH ST, CHICAGO, IL, 60617",111777030.0,R,17.0,31.0,510300.0,2010.0,-87.57283848989579,41.72061436717951
1004,"9729 S YATES AVE, Chicago, IL, 60617",Match,Exact,"9729 S YATES AVE, CHICAGO, IL, 60617",112049090.0,L,17.0,31.0,510200.0,2002.0,-87.56457214568366,41.71806220554299
1003,"1725 N SPRINGFIELD AVE, Chicago, IL, 60647",Match,Exact,"1725 N SPRINGFIELD AVE, CHICAGO, IL, 60647",605055179.0,R,17.0,31.0,230400.0,2000.0,-87.72389309727242,41.91254262220832
1124,"3736 N MARSHFIELD AVE, Chicago, IL, 60613",Match,Exact,"3736 N MARSHFIELD AVE, CHICAGO, IL, 60613",605152194.0,L,17.0,31.0,60300.0,2013.0,-87.67022789479972,41.9498453251303
1002,"4501 N CLARENDON AVE, Chicago, IL, 60640",Match,Exact,"4501 N CLARENDON AVE, CHICAGO, IL, 60640",642836189.0,R,17.0,31.0,31400.0,5010.0,-87.64989118071759,41.963728428542424
1123,"2239 W LUNT AVE, Chicago, IL, 60645",Match,Exact,"2239 W LUNT AVE, CHICAGO, IL, 60645",111744794.0,L,17.0,31.0,20400.0,2011.0,-87.6868448957373,42.00868616070562
1244,"901 N CLARK ST, Chicago, IL, 60610",Match,Exact,"901 N CLARK ST, CHICAGO, IL, 60610",111768441.0,R,17.0,31.0,81000.0,2000.0,-87.63125397292845,41.89984767870624
1001,"2873 E 75TH ST, Chicago, IL, 60649",Tie,,,,,,,,,,
1122,"10021 S LUELLA AVE, Chicago, IL, 60617",Match,Exact,"10021 S LUELLA AVE, CHICAGO, IL, 60617",605528021.0,L,17.0,31.0,510300.0,4027.0,-87.56812542981527,41.71271069503592
1022,"2022 W CERMAK RD, Chicago, IL, 60608",Match,Exact,"2022 W CERMAK RD, CHICAGO, IL, 60608",111803059.0,R,17.0,31.0,310900.0,2007.0,-87.67643356655168,41.85222555221492
1143,"2528 N RACINE AVE, Chicago, IL, 60614",Match,Exact,"2528 N RACINE AVE, CHICAGO, IL, 60614",605019907.0,L,17.0,31.0,70500.0,1008.0,-87.65861605820737,41.92806826564413
1021,"4431 W AUGUSTA BLVD, Chicago, IL, 60651",Match,Exact,"4431 W AUGUSTA BLVD, CHICAGO, IL, 60651",605059626.0,L,17.0,31.0,842100.0,2002.0,-87.73766916290231,41.898771943941654
1020,"3748 S PRAIRIE AVE, Chicago, IL, 60653",Match,Exact,"3748 S PRAIRIE AVE, CHICAGO, IL, 60653",641750708.0,R,17.0,31.0,839600.0,2006.0,-87.62053986671981,41.82710956929981
1141,"5640 N PULASKI RD, Chicago, IL, 60646",Match,Exact,"5640 N PULASKI RD, CHICAGO, IL, 60646",111742346.0,L,17.0,31.0,130200.0,1006.0,-87.72852594274798,41.983443834090906
1262,"7705 N EASTLAKE TERRACE, Chicago, IL, 60626",Match,Exact,"7705 N EASTLAKE TER, CHICAGO, IL, 60626",111745262.0,R,17.0,31.0,10100.0,3000.0,-87.66503838605666,42.02102430565134
1261,"1050 W PRATT BLVD, Chicago, IL, 60626",Match,Exact,"1050 W PRATT BLVD, CHICAGO, IL, 60626",605265587.0,R,17.0,31.0,10400.0,1000.0,-87.65878835878414,42.00563242187866
1260,"1040 W NORTH SHORE AVE, Chicago, IL, 60626",Match,Exact,"1040 W NORTH SHORE AVE, CHICAGO, IL, 60626",616788570.0,R,17.0,31.0,10400.0,3010.0,-87.65815889695017,42.00377780630589
1019,"1919 N SEMINARY AVE, Chicago, IL, 60614",Match,Exact,"1919 N SEMINARY AVE, CHICAGO, IL, 60614",616789857.0,R,17.0,31.0,832600.0,2001.0,-87.65530431083471,41.91702196707263
1018,"3225 S RACINE AVE, Chicago, IL, 60608",Match,Exact,"3225 S RACINE AVE, CHICAGO, IL, 60608",111803713.0,L,17.0,31.0,600900.0,3011.0,-87.65587599894354,41.835361272436955
1139,"4712 W OHIO ST, Chicago, IL, 60644",Match,Exact,"4712 W OHIO ST, CHICAGO, IL, 60644",605076538.0,R,17.0,31.0,251700.0,1031.0,-87.74365119495138,41.89147139777407
1017,"2250 N CLIFTON AVE, Chicago, IL, 60614",Match,Exact,"2250 N CLIFTON AVE, CHICAGO, IL, 60614",605167167.0,L,17.0,31.0,71000.0,1003.0,-87.65724309946921,41.92282237549409
1138,"607 N HARDING AVE, Chicago, IL, 60624",Match,Exact,"607 N HARDING AVE, CHICAGO, IL, 60624",604998893.0,R,17.0,31.0,231500.0,4027.0,-87.72469239497656,41.892118381048306
1016,"4347 W 54TH ST, Chicago, IL, 60632",Match,Exact,"4347 W 54TH ST, CHICAGO, IL, 60632",616791626.0,L,17.0,31.0,620200.0,2005.0,-87.73208565211559,41.79489987064312
1137,"6441 S OAKLEY AVE, Chicago, IL, 60636",Match,Exact,"6441 S OAKLEY AVE, CHICAGO, IL, 60636",111819719.0,L,17.0,31.0,660700.0,1005.0,-87.68092728606922,41.77667733675628
1258,"7751 N EASTLAKE TER, Chicago, IL, 60626",Match,Exact,"7751 N EASTLAKE TER, CHICAGO, IL, 60626",111745262.0,R,17.0,31.0,10100.0,3000.0,-87.6653619236285,42.0218139654861
1015,"2526 W GRAND AVE, Chicago, IL, 60612",Match,Exact,"2526 W GRAND AVE, CHICAGO, IL, 60612",111763774.0,R,17.0,31.0,242800.0,1020.0,-87.68983295794555,41.89167201755333
1257,"1234 W JARVIS AVE, Chicago, IL, 60626",Match,Exact,"1234 W JARVIS AVE, CHICAGO, IL, 60626",605265106.0,R,17.0,31.0,10300.0,1000.0,-87.66371933817027,42.01618018325229
1014,"5705 S SHIELDS AVE, Chicago, IL, 60621",Match,Exact,"5705 S SHIELDS AVE, CHICAGO, IL, 60621",605491734.0,L,17.0,31.0,834600.0,2038.0,-87.63398166780462,41.79079105627295
1135,"901 W OAKDALE AVE, Chicago, IL, 60657",Match,Exact,"901 W OAKDALE AVE, CHICAGO, IL, 60657",111766756.0,L,17.0,31.0,63000.0,3007.0,-87.6516039502493,41.93535182630535
1256,"1300 W HOWARD ST, Chicago, IL, 60626",Match,Exact,"1300 W HOWARD ST, CHICAGO, IL, 60626",111745277.0,R,17.0,31.0,10100.0,3000.0,-87.66396384834974,42.0193484198262
1013,"1222 W TOUHY AVE, Chicago, IL, 60626",Match,Exact,"1222 W TOUHY AVE, CHICAGO, IL, 60626",111745316.0,R,17.0,31.0,10300.0,3000.0,-87.6625665954561,42.01290354391716
1255,"6227 N SHERIDAN RD, Chicago, IL, 60660",Match,Exact,"6227 N SHERIDAN RD, CHICAGO, IL, 60660",638709419.0,R,17.0,31.0,30103.0,2001.0,-87.65546590447701,41.995107812154856
1012,"8335 S HONORE ST, Chicago, IL, 60620",No_Match,,,,,,,,,,
1133,"2953 W NELSON ST, Chicago, IL, 60618",Match,Exact,"2953 W NELSON ST, CHICAGO, IL, 60618",111760690.0,L,17.0,31.0,210700.0,1005.0,-87.7019262184985,41.93727317408366
1033,"4912 S CALUMET AVE, Chicago, IL, 60615",Match,Exact,"4912 S CALUMET AVE, CHICAGO, IL, 60615",111770676.0,R,17.0,31.0,381800.0,1003.0,-87.61812910137292,41.80545314472704
1154,"6410 S ELLIS AVE, Chicago, IL, 60637",Match,Exact,"6410 S ELLIS AVE, CHICAGO, IL, 60637",605501841.0,R,17.0,31.0,420800.0,1005.0,-87.60048228615739,41.778257695730645
1275,"7005 S DANTE AVE, Chicago, IL, 60637",Match,Exact,"7005 S DANTE AVE, CHICAGO, IL, 60637",111774565.0,L,17.0,31.0,430300.0,2011.0,-87.5894173101097,41.76772711186669
1032,"2402 N WASHTENAW AVE, Chicago, IL, 60647",Match,Exact,"2402 N WASHTENAW AVE, CHICAGO, IL, 60647",605188267.0,L,17.0,31.0,220300.0,2010.0,-87.69506481873282,41.92531675586213
1274,"5109 S GREENWOOD AVE, Chicago, IL, 60615",Match,Exact,"5109 S GREENWOOD AVE, CHICAGO, IL, 60615",111771634.0,L,17.0,31.0,836300.0,2003.0,-87.59972475585164,41.80216402304558
1031,"2708 W LAWRENCE AVE, Chicago, IL, 60625",Match,Exact,"2708 W LAWRENCE AVE, CHICAGO, IL, 60625",111760154.0,R,17.0,31.0,40201.0,3010.0,-87.69662895736309,41.9686047235644
1273,"4201 S CHAMPLAIN AVE, Chicago, IL, 60653",Match,Exact,"4201 S CHAMPLAIN AVE, CHICAGO, IL, 60653",605499271.0,L,17.0,31.0,380100.0,1028.0,-87.61037992688858,41.81848096497259
1030,"1313 S THROOP ST, Chicago, IL, 60608",Match,Exact,"1313 S THROOP ST, CHICAGO, IL, 60608",111802955.0,L,17.0,31.0,842900.0,1071.0,-87.65873892018664,41.864779049774086
1151,"7262 W SUMMERDALE AVE, Chicago, IL, 60656",Match,Exact,"7262 W SUMMERDALE AVE, CHICAGO, IL, 60656",111746916.0,R,17.0,31.0,100500.0,2004.0,-87.80806657390781,41.97724627947457
1272,"5324 S WOODLAWN AVE, Chicago, IL, 60615",Match,Exact,"5324 S WOODLAWN AVE, CHICAGO, IL, 60615",605500984.0,R,17.0,31.0,410600.0,1010.0,-87.59670370737581,41.79877157353155
1150,"2101 W SUPERIOR ST, Chicago, IL, 60612",Match,Exact,"2101 W SUPERIOR ST, CHICAGO, IL, 60612",111764769.0,L,17.0,31.0,243000.0,2002.0,-87.67954720589518,41.8948898505779
1270,"1023 W WRIGHTWOOD AVE, Chicago, IL, 60614",Match,Exact,"1023 W WRIGHTWOOD AVE, CHICAGO, IL, 60614",605237639.0,L,17.0,31.0,70400.0,1009.0,-87.65577849247921,41.92891689503716
1029,"3620 S LITUANICA AVE, Chicago, IL, 60609",Match,Exact,"3620 S LITUANICA AVE, CHICAGO, IL, 60609",605494240.0,R,17.0,31.0,839900.0,2024.0,-87.6477560789292,41.828511785894705
1028,"5311 S HAMILTON AVE, Chicago, IL, 60609",Match,Exact,"5311 S HAMILTON AVE, CHICAGO, IL, 60609",111805394.0,L,17.0,31.0,611600.0,2000.0,-87.67793538986166,41.796932152122736
1149,"347 N ST LOUIS AVE, Chicago, IL, 60624",Match,Exact,"347 N ST LOUIS AVE, CHICAGO, IL, 60624",605043569.0,R,17.0,31.0,836800.0,1000.0,-87.71356206874492,41.887568649301215
1027,"1356 N DEAN ST, Chicago, IL, 60622",Match,Exact,"1356 N DEAN ST, CHICAGO, IL, 60622",605066356.0,L,17.0,31.0,241500.0,3006.0,-87.67067211785462,41.90698470453947
1148,"2415 N MARSHFIELD AVE, Chicago, IL, 60614",Match,Exact,"2415 N MARSHFIELD AVE, CHICAGO, IL, 60614",605235391.0,R,17.0,31.0,70700.0,2011.0,-87.66941414161022,41.925787951216705
1026,"4615 W JACKSON BLVD, Chicago, IL, 60644",Match,Exact,"4615 W JACKSON BLVD, CHICAGO, IL, 60644",111765718.0,L,17.0,31.0,252202.0,3001.0,-87.74086475174943,41.87684485708468
1147,"3520 N SACRAMENTO AVE, Chicago, IL, 60618",Match,Exact,"3520 N SACRAMENTO AVE, CHICAGO, IL, 60618",605229629.0,R,17.0,31.0,210100.0,3008.0,-87.70295562517492,41.94512463038404
1268,"5950 S WOODLAWN AVE, Chicago, IL, 60637",Match,Exact,"5950 S WOODLAWN AVE, CHICAGO, IL, 60637",111771841.0,R,17.0,31.0,420300.0,1000.0,-87.59639754198355,41.785515855713356
1025,"647 W ROOT ST, Chicago, IL, 60609",Match,Exact,"647 W ROOT ST, CHICAGO, IL, 60609",605444653.0,L,17.0,31.0,842600.0,1027.0,-87.64179163515303,41.81892086150458
1267,"7700 S WALLACE ST, Chicago, IL, 60620",Match,Exact,"7700 S WALLACE ST, CHICAGO, IL, 60620",111831330.0,R,17.0,31.0,710100.0,1013.0,-87.6399321171586,41.754272814082924
1024,"3044 S BONFIELD ST, Chicago, IL, 60608",Match,Exact,"3044 S BONFIELD ST, CHICAGO, IL, 60608",605567174.0,R,17.0,31.0,600600.0,1004.0,-87.6536233985272,41.839197415464014
1145,"667 W ROSCOE ST, Chicago, IL, 60657",Match,Exact,"667 W ROSCOE ST, CHICAGO, IL, 60657",111766791.0,L,17.0,31.0,62000.0,1000.0,-87.64708206112243,41.94359388283402
600,"12201 S STONY ISLAND AVE, Chicago, IL, ",Match,Exact,"12201 S STONY ISLAND AVE, CHICAGO, IL, 60633",618729583.0,L,17.0,31.0,838800.0,2042.0,-87.57528355315213,41.67359983427258
1265,"1000 W THORNDALE AVE, Chicago, IL, 60660",Match,Exact,"1000 W THORNDALE AVE, CHICAGO, IL, 60660",605179389.0,R,17.0,31.0,30101.0,3000.0,-87.6561900154282,41.990150743314985
601,"7000 W IRVING PARK RD, Chicago, IL, ",Match,Exact,"7000 W IRVING PARK RD, CHICAGO, IL, 60634",111750317.0,R,17.0,31.0,170100.0,1005.0,-87.80183556933036,41.95280243889994
602,"4008 W MADISON ST, Chicago, IL, ",Match,Exact,"4008 W MADISON ST, CHICAGO, IL, 60624",111765811.0,R,17.0,31.0,260200.0,1026.0,-87.72593780946994,41.88077953713935
1044,"5203 S LOWE AVE, Chicago, IL, 60609",Match,Exact,"5203 S LOWE AVE, CHICAGO, IL, 60609",111829867.0,L,17.0,31.0,843800.0,2002.0,-87.64156929394812,41.799732785540016
1165,"907 N WESTERN AVE, Chicago, IL, 60622",Match,Exact,"907 N WESTERN AVE, CHICAGO, IL, 60622",111763690.0,R,17.0,31.0,242400.0,2008.0,-87.68681529975208,41.89779316863729
