city,systemstop,public_nam,cross_st,pos,owlroutes,dir,street,routesstpg,geometry,index_right,statefp10,name10,commarea_n,namelsad10,commarea,geoid10,notes,tractce10,countyfp10
CHICAGO,230.0,Congress & Homan,HOMAN,NS,,WB,CONGRESS,7,POINT (-87.71053731400002 41.874594737999985),765.0,17,2713,27,Census Tract 2713,27,17031271300,,271300,031
CHICAGO,13062.0,59th Street & Racine,RACINE,NS,,WB,59TH STREET,59,POINT (-87.65454739500001 41.786956492),415.0,17,6805,68,Census Tract 6805,68,17031680500,,680500,031
CHICAGO,11034.0,Diversey & Pine Grove,PINE GROVE,FS,,EB,DIVERSEY,76,POINT (-87.64105515900002 41.93282251599999),105.0,17,701.01,7,Census Tract 701.01,7,17031070101,,070101,031
CHICAGO,7868.0,Belmont & Campbell,CAMPBELL (west leg),NT,N77,EB,BELMONT,77,POINT (-87.69073341400002 41.939413946),111.0,17,8437,5,Census Tract 8437,5,17031843700,,843700,031
CHICAGO,15220.0,Armitage & Damen,DAMEN,FS,,EB,ARMITAGE,73,POINT (-87.67731463500002 41.91769325400003),189.0,17,8310,22,Census Tract 8310,22,17031831000,Small area in CA 24,831000,031
CHICAGO,11067.0,Kedzie & Diversey,DIVERSEY,FS,,SB,KEDZIE,76,POINT (-87.70748899900002 41.93183800000003),73.0,17,2206.02,22,Census Tract 2206.02,22,17031220602,,220602,031
CHICAGO,333.0,Roosevelt & Morgan,MORGAN,NS,,WB,ROOSEVELT,12,POINT (-87.65089348999999 41.86718872099999),103.0,17,8419,28,Census Tract 8419,28,17031841900,,841900,031
CHICAGO,5636.0,Irving Park & Keeler,KEELER,NS,,EB,IRVING PARK,"54A,80",POINT (-87.73269143200002 41.953482038000004),305.0,17,1610,16,Census Tract 1610,16,17031161000,,161000,031
CHICAGO,10635.0,Cicero & 55th Street,55TH STREET,FS,,SB,CICERO,"47,54B,62H",POINT (-87.742267137 41.792670993),88.0,17,9801,56,Census Tract 9801,56,17031980100,Half in CA 64 (Midway Airport),980100,031
CHICAGO,727.0,Grand & Wood,WOOD,NS,,EB,GRAND,65,POINT (-87.67214171900002 41.89084079000003),528.0,17,2431,24,Census Tract 2431,24,17031243100,,243100,031
CHICAGO,14822.0,63rd Street & Stewart,STEWART,FS,N63,EB,63RD STREET,63,POINT (-87.63478104199999 41.779864746999976),441.0,17,6809,68,Census Tract 6809,68,17031680900,,680900,031
CHICAGO,15844.0,Fullerton & Long,LONG,FS,,EB,FULLERTON,74,POINT (-87.760856133 41.92396560899999),316.0,17,1912,19,Census Tract 1912,19,17031191200,,191200,031
CHICAGO,1423.0,State & Lake,LAKE,NS,,SB,STATE,"2,6,10,29,36,62,146,148",POINT (-87.62805299899998 41.88589300000001),96.0,17,8391,32,Census Tract 8391,32,17031839100,,839100,031
CHICAGO,4734.0,Pulaski & 79th Street,79TH STREET,FS,,SB,PULASKI,"53A,79",POINT (-87.72204998500001 41.74917800100002),583.0,17,7002,70,Census Tract 7002,70,17031700200,,700200,031
CHICAGO,11111.0,McCormick & Lincoln,LINCOLN,NS,,SWB,McCORMICK,82,POINT (-87.714046429 41.99470784499999),750.0,17,1301,13,Census Tract 1301,13,17031130100,,130100,031
CHICAGO,4496.0,Archer & Sacramento,SACRAMENTO,NS,N62,SWB,ARCHER,62,POINT (-87.699264325 41.817297568000015),172.0,17,5805.01,58,Census Tract 5805.01,58,17031580501,,580501,031
CHICAGO,9884.0,Northwest Hwy & Foster,FOSTER,FS,,NWB,NORTHWEST HWY,68,POINT (-87.769482315 41.97585453200003),693.0,17,1102,11,Census Tract 1102,11,17031110200,,110200,031
CHICAGO,11644.0,Caldwell & Devon,DEVON,NS,,NWB,CALDWELL,85A,POINT (-87.76641106400001 41.997200995000014),781.0,17,1201,12,Census Tract 1201,12,17031120100,,120100,031
CHICAGO,5645.0,Irving Park & Kimball,KIMBALL,NS,,EB,IRVING PARK,80,POINT (-87.71302963599999 41.953751512999986),336.0,17,1608,16,Census Tract 1608,16,17031160800,,160800,031
CHICAGO,4790.0,Foster & Ashland,ASHLAND,NS,,EB,FOSTER,92,POINT (-87.66985092300001 41.976098243000024),620.0,17,310,3,Census Tract 310,3,17031031000,,031000,031
CHICAGO,6693.0,Taylor & Ashland,ASHLAND,NS,,EB,TAYLOR,157,POINT (-87.66666710499999 41.86919081999997),5.0,17,8382,28,Census Tract 8382,28,17031838200,,838200,031
CHICAGO,284.0,Roosevelt & Sacramento,SACRAMENTO,NS,,EB,ROOSEVELT,12,POINT (-87.700953503 41.866370303),137.0,17,8431,29,Census Tract 8431,29,17031843100,,843100,031
CHICAGO,949.0,North Ave & Western,WESTERN,NS,,WB,NORTH AVENUE,72,POINT (-87.687029171 41.910389904),307.0,17,2405,24,Census Tract 2405,24,17031240500,,240500,031
CHICAGO,833.0,Grand & Austin,AUSTIN,NS,,WB,GRAND,65,POINT (-87.77547361500001 41.920612404999986),58.0,17,1913.02,19,Census Tract 1913.02,19,17031191302,,191302,031
CHICAGO,13058.0,59th Street & Halsted,HALSTED,NS,,WB,59TH STREET,59,POINT (-87.644830114 41.78709490900002),116.0,17,8347,68,Census Tract 8347,68,17031834700,,834700,031
CHICAGO,1486.0,Ainslie & Western,WESTERN,FS,,WB,AINSLIE,11,POINT (-87.689448997 41.970461426999975),27.0,17,402.01,4,Census Tract 402.01,4,17031040201,,040201,031
