Station Name,Tract
Commercial Ave & 100th St,
Harper Ave & 59th St,
Stony Island Ave & 67th St,
Olive Harvey College,
State St & 35th St,
Michigan Ave & Jackson Blvd,
Oglesby Ave & 100th St,
Constance Ave & 95th St,
Baltimore Ave & 87th St,
Major Taylor Trail & 124th St,
Loomis St & Archer Ave,
Budlong Woods Library,
Sheffield Ave & Wellington Ave,
Kedzie Ave & 21st St,
Leavitt St & Archer Ave,
Ridge Blvd & Touhy Ave,
Clark St & Columbia Ave,
Campbell Ave & Fullerton Ave,
Jefferson St & Monroe St,
Troy St & Elston Ave,
DuSable Lake Shore Dr & Wellington Ave,
Ada St & 113th St,
Cottage Grove Ave & 67th St,
Ellis Ave & 53rd St,
Western Ave & Monroe St,
Hale Ave & 107th St,
Damen Ave & 59th St,
Wentworth Ave & Cermak Rd*,
Western Ave & 111th St,
Milwaukee Ave & Rockwell St,
Halsted St & 111th St,
Kedzie Ave & Chicago Ave,
Damen Ave & Foster Ave,
Wells St & Polk St,
Vincennes Ave & 104th St,
Halsted St & 21st St,
Ashland Ave & 78th St,
Halsted St & 18th St,
Loomis St & 89th St,
Field Blvd & South Water St,
Monticello Ave & Irving Park Rd,
Shields Ave & 43rd St,
Prairie Ave & 43rd St,
Rush St & Cedar St,
Kedzie Ave & 110th St,
Desplaines St & Jackson Blvd,
Walden Pkwy & 100th St,
Clark St & Leland Ave,
Elizabeth St & Fulton St,
Woodlawn Ave & Lake Park Ave,
Cottage Grove Ave & 63rd St,
Summit Ave & 86th St,
Clark St & Lake St,
Homewood Ave & 115th St,
Washtenaw Ave & Ogden Ave,
Wacker Dr & Washington St,
Lincoln Ave & Winona St,
Lincoln Ave & Belle Plaine Ave,
Halsted St & 73rd St,
Ogden Ave & Roosevelt Rd,
Central Park Ave & Elbridge Ave,
Francisco Ave & Foster Ave,
Warren Park East,
Southport Ave & Wellington Ave,
Calumet Ave & 18th St,
Lake Park Ave & 53rd St,
Millard Ave & 26th St,
Clark St & Touhy Ave,
East End Ave & 87th St,
Burnham Greenway & 112th St,
Drake Ave & Montrose Ave,
McClurg Ct & Erie St,
Cottage Grove Ave & 111th Pl,
Wentworth Ave & Cermak Rd,
Pine Grove Ave & Waveland Ave,
Museum of Science and Industry,
Wentworth Ave & 33rd St,
LaSalle St & Adams St,
California Ave & Francis Pl,
Fort Dearborn Dr & 31st St*,
Wentworth Ave & 24th St,
Winchester Ave & Elston Ave,
Streeter Dr & Grand Ave,
Wentworth Ave & 63rd St,
Rainbow - Beach,
Broadway & Thorndale Ave,
Albany Ave & Bloomingdale Ave,
St. Clair St & Erie St,
Marquette Ave & 89th St,
California Ave & 21st St,
Damen Ave & Grand Ave,
State St & Kinzie St,
Sawyer Ave & Irving Park Rd,
Damen Ave & 74th St,
Eggleston Ave & 92nd St,
Jeffery Blvd & 67th St,
Lawndale Ave & 111th St,
South Shore Dr & 74th St,
California Ave & Lake St,
Burnham Greenway & 105th St,
Kingsbury St & Kinzie St,
Sheridan Rd & Argyle St,
Clark St & Lunt Ave,
Central Park Ave & Ogden Ave,
Maplewood Ave & Peterson Ave,
Pulaski Rd & Congress Pkwy,
Damen Ave & Cullerton St,
Richmond St & Diversey Ave,
State St & Chicago Ave,
Houston Ave & 92nd St,
Greenwood Ave & 97th St,
Racine Ave & 35th St,
Franklin St & Adams St (Temp),
63rd St Beach,
Greenwood Ave & 91st St,
Eastlake Ter & Howard St,
Halsted St & 63rd St,
Kilbourn Ave & Milwaukee Ave,
Rush St & Superior St,
Vernon Ave & 107th St,
Spaulding Ave & Armitage Ave,
Clark St & Winnemac Ave,
Halsted St & 56th St,
Halsted St & 78th St,
Torrence Ave & 106th St,
Larrabee St & Division St,
Oakley Ave & Irving Park Rd,
Doty Ave & 111th St,
Eberhart Ave & 131st St,
Eberhart Ave & 91st St,
Halsted St & 47th Pl,
Sangamon St & Lake St,
