ID,Tract,latitude,longitude
30105,830700,41.964273, -87.657588
30035,813200,41.872108, -87.791602
30023,590500,41.829353, -87.680622
30163,810000,42.027612, -87.678329
30006,260100,41.885412, -87.725404
30188,831400,41.871574, -87.745154
30109,320400,41.878153, -87.627596
30230,031200,41.973453, -87.65853
30281,050100,41.954521, -87.674868
30080,330102,41.867405, -87.62659
30181,980100,41.78661, -87.737875
30026,807300,42.038951, -87.751919
30167,140800,41.966046, -87.701644
30030,839100,41.8768, -87.631739
30146,100500,41.98227, -87.8089
30013,210601,41.938132, -87.712359
30086,840700,41.854109, -87.694774
30143,841200,41.854225, -87.685129
30192,690300,41.768367, -87.625724
30141,839100,41.882695, -87.63378
30286,320600,41.874039, -87.627479
30221,280100,41.885678, -87.641782
30294,832100,41.953775, -87.654929
30258,063000,41.939751, -87.65338
30242,809300,42.063987, -87.685617
30203,801300,42.073153, -87.69073
30220,630300,41.804236, -87.704406
30250,140701,41.967901, -87.713065
30178,834600,41.780536, -87.630952
30234,071100,41.925051, -87.652866
30278,050600,41.947028, -87.674642
30174,010202,42.019063, -87.672892
30238,835500,41.810318, -87.63094
30382,330103,41.853115, -87.626402
30208,837100,41.884321, -87.706155
30189,816100,41.87349, -87.806961
30056,671100,41.77886, -87.663766
30119,812500,41.887159, -87.783661
30298,807700,42.02624348, -87.74722084
30139,420800,41.780309, -87.605857
30122,080202,41.90392, -87.631412
30251,010503,42.001073, -87.661061
30295,833000,41.885586, -87.652193
30019,830800,41.966286, -87.678639
30205,843200,41.839234, -87.665317
30131,320400,41.879507, -87.626037
30160,770700,41.983507, -87.859388
30058,380600,41.821732, -87.621371
30118,292500,41.853751, -87.733258
30066,030703,41.977984, -87.658668
30103,063000,41.932732, -87.653131
30247,110502,41.970634, -87.760892
30183,680900,41.778943, -87.644244
30275,842400,41.735372, -87.624717
30210,381400,41.809209, -87.618826
30271,243500,41.896075, -87.655214
30284,040600,41.966163, -87.688502
30077,816000,41.874257, -87.817318
30112,221400,41.921939, -87.69689
30254,831900,41.943623, -87.670907
30007,839100,41.878723, -87.63374
30091,081700,41.888969, -87.633924
30051,320102,41.88574, -87.627835
30094,251800,41.886519, -87.744698
30260,160100,41.961539, -87.743574
30042,282700,41.875478, -87.688436
30285,320600,41.874039, -87.627479
30127,071100,41.918217, -87.652644
30227,010300,42.015876, -87.669092
30017,832100,41.953775, -87.654929
30003,812301,41.886848, -87.803176
30277,050600,41.947028, -87.674642
30255,063000,41.939751, -87.65338
30136,251800,41.887163, -87.754986
30249,140701,41.967901, -87.713065
30191,690300,41.768367, -87.625724
30050,320102,41.88574, -87.627835
30153,839100,41.880703, -87.629378
30040,310900,41.854517, -87.675975
30179,260700,41.873797, -87.725663
30186,620200,41.799756, -87.724493
30213,842000,41.831677, -87.625826
30144,841200,41.854225, -87.685129
30235,071100,41.925051, -87.652866
30148,030102,41.993664, -87.659202
30071,061500,41.943744, -87.663619
30280,081500,41.896671, -87.628176
30031,839100,41.8768, -87.631739
30222,280100,41.885678, -87.641782
30142,839100,41.882695, -87.63378
30224,835600,41.79542, -87.631157
30244,251400,41.887293, -87.774135
30113,813701,41.85177331, -87.75669201
30282,050100,41.954521, -87.674868
30197,220602,41.929728, -87.708541
30152,844700,41.853839, -87.714842
30087,840700,41.854109, -87.694774
30201,844700,41.853964, -87.705408
30069,841900,41.875474, -87.649707
30074,839100,41.885737, -87.630886
30133,809401,42.041655, -87.681602
30081,330102,41.867405, -87.62659
30034,813200,41.872108, -87.791602
30168,140800,41.966046, -87.701644
30009,251800,41.886519, -87.744698
30259,160100,41.961539, -87.743574
30125,842200,41.910655, -87.649177
30172,980000,41.97766526, -87.90422307
30045,760801,41.984246, -87.838028
