Tract,Total Pop,Park Acres,Parks Score,Libraries Count,Libraries Score,Bus Count,Bus Score,L Count,L Score,Divvy Count,Divvy Score,Transit Score,APS Index
230200,1979.0,0.0,0.0,0.0,0.0,8.0,15.0,0.0,0.0,0.0,0.0,31.0,0.103323
230300,1650.0,1.18,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,5.0,0.019998
230400,6843.0,1.27,1.0,0.0,0.0,6.0,10.0,0.0,0.0,1.0,11.0,8.0,0.029997
230500,10137.0,4.85,1.0,1.0,16.0,14.0,16.0,0.0,0.0,0.0,0.0,11.0,0.093324
230600,17486.0,1.98,1.0,0.0,0.0,21.0,9.0,0.0,0.0,0.0,0.0,10.0,0.036663
230700,17541.0,0.7,1.0,0.0,0.0,22.0,14.0,0.0,0.0,1.0,2.0,10.0,0.036663
230800,2168.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,1.0,26.0,14.0,0.046662
230900,5031.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,17.0,0.056661
231100,2662.0,0.39,1.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,15.0,0.053328
231200,18876.0,0.97,1.0,0.0,0.0,12.0,7.0,0.0,0.0,1.0,1.0,6.0,0.023330999999999998
231500,17595.0,0.8,1.0,0.0,0.0,14.0,9.0,0.0,0.0,2.0,7.0,7.0,0.026664
240200,3622.0,2.18,1.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,9.0,0.03333
240300,2588.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,22.0,9.0,0.029996999999999996
240500,7554.0,0.54,1.0,0.0,0.0,10.0,15.0,0.0,0.0,1.0,9.0,11.0,0.039996000000000004
240600,4923.0,1.32,1.0,0.0,0.0,3.0,7.0,0.0,0.0,1.0,16.0,7.0,0.026664
240700,1704.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,18.0,0.05999399999999999
240800,1430.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,16.0,0.053328
240900,3282.0,210.85,65.0,0.0,0.0,21.0,73.0,0.0,0.0,3.0,86.0,55.0,0.39996
241000,1837.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,13.0,0.043329
241100,7384.0,0.17,1.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,11.0,0.039996000000000004
241200,3326.0,0.0,0.0,0.0,0.0,6.0,14.0,0.0,0.0,1.0,16.0,16.0,0.053328
241300,3962.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,29.0,6.0,0.019998
241400,24020.0,4.74,1.0,0.0,0.0,15.0,9.0,2.0,7.0,3.0,13.0,7.0,0.026664
241500,8316.0,0.66,1.0,0.0,0.0,8.0,11.0,0.0,0.0,2.0,20.0,10.0,0.036663
241600,10458.0,4.18,1.0,0.0,0.0,7.0,8.0,0.0,0.0,1.0,6.0,6.0,0.023330999999999998
242000,13416.0,0.0,0.0,0.0,0.0,10.0,8.0,2.0,12.0,1.0,4.0,8.0,0.026664
242100,7868.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,13.0,7.0,0.023331
242200,11916.0,1.67,1.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,5.0,5.0,0.019998
242300,7272.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,5.0,11.0,0.036663
242400,8553.0,0.28,1.0,0.0,0.0,8.0,11.0,0.0,0.0,2.0,19.0,9.0,0.03333
242500,6724.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,2.0,16.0,11.0,0.036663
242600,11066.0,0.0,0.0,0.0,0.0,13.0,9.0,0.0,0.0,1.0,2.0,10.0,0.03333
242700,3646.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,1.0,14.0,13.0,0.043329
242800,4683.0,10.53,3.0,0.0,0.0,16.0,39.0,0.0,0.0,2.0,38.0,29.0,0.10665599999999999
242900,3738.0,0.0,0.0,0.0,0.0,8.0,16.0,0.0,0.0,1.0,14.0,19.0,0.063327
243000,6603.0,0.34,1.0,0.0,0.0,11.0,19.0,0.0,0.0,3.0,41.0,16.0,0.056661
243100,6675.0,0.22,1.0,0.0,0.0,10.0,17.0,0.0,0.0,1.0,11.0,13.0,0.046662
243200,6462.0,0.0,0.0,1.0,32.0,10.0,18.0,0.0,0.0,3.0,42.0,16.0,0.15998400000000002
243300,6573.0,0.72,1.0,0.0,0.0,7.0,12.0,0.0,0.0,1.0,11.0,10.0,0.036663
243400,6026.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,1.0,7.0,8.0,0.026664
243500,13086.0,0.0,0.0,0.0,0.0,21.0,18.0,2.0,12.0,2.0,11.0,15.0,0.049995
250200,6366.0,0.37,1.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,10.0,0.036663
250300,5095.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,12.0,0.039996
250400,21868.0,18.82,2.0,1.0,6.0,26.0,18.0,0.0,0.0,3.0,14.0,10.0,0.059994
250500,13454.0,0.0,0.0,0.0,0.0,22.0,12.0,0.0,0.0,2.0,6.0,14.0,0.046662
250600,9316.0,0.0,0.0,0.0,0.0,15.0,12.0,0.0,0.0,1.0,3.0,13.0,0.043329
250700,11930.0,0.0,0.0,0.0,0.0,18.0,11.0,0.0,0.0,1.0,2.0,12.0,0.039996
