Tract,Total Pop,Park Acres,Parks Score,Libraries Count,Libraries Score,Bus Count,Bus Score,L Count,L Score,Divvy Count,Divvy Score,Transit Score,APS Index
190300,11450.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,1.0,2.0,8.0,0.026664
190401,8454.0,0.0,0.0,0.0,0.0,18.0,16.0,0.0,0.0,1.0,4.0,17.0,0.056661
190402,10612.0,0.0,0.0,0.0,0.0,16.0,11.0,0.0,0.0,2.0,9.0,13.0,0.04332899999999999
190601,13848.0,57.49,5.0,0.0,0.0,18.0,15.0,0.0,0.0,2.0,10.0,11.0,0.053328
190602,11102.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,1.0,2.0,11.0,0.036662999999999994
190701,6132.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,1.0,7.0,9.0,0.029997
190702,15381.0,3.3,1.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,3.0,3.0,0.013332
190800,6533.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,14.0,0.046662
190900,4156.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,1.0,12.0,13.0,0.04332899999999999
191000,2731.0,0.0,0.0,0.0,0.0,11.0,15.0,0.0,0.0,0.0,0.0,31.0,0.103323
191100,20244.0,6.88,1.0,0.0,0.0,23.0,13.0,0.0,0.0,2.0,6.0,10.0,0.036662999999999994
191200,8254.0,0.0,0.0,0.0,0.0,21.0,19.0,0.0,0.0,1.0,4.0,21.0,0.069993
191301,10810.0,0.4,1.0,0.0,0.0,20.0,14.0,0.0,0.0,0.0,0.0,14.0,0.049995000000000005
191302,9698.0,0.0,0.0,0.0,0.0,18.0,14.0,0.0,0.0,2.0,10.0,16.0,0.053328
200100,11019.0,2.94,1.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,5.0,5.0,0.019998
200200,12744.0,9.92,1.0,0.0,0.0,12.0,11.0,0.0,0.0,2.0,12.0,9.0,0.03333
