,NAME,Total Pop (#),Total HH (#),Home: Owner,Home: Renter,Race: White,Race: Black/AA,Race: AI/Alaskan,Race: Asian,Race: Hawaiian/PI,Race: Other,Ethnicty: Hisp.,Ethnicity: Non-Hisp.,Edu: < 9th grade,"Edu: HS, no diploma",Edu: HS Diploma,Edu: Associate's Degree,Edu: Bachelor's Degree,Edu: Grad/Prof Degree,Median HH Income ($),Age: < 18,Age: 18+,Age: 65+,state,county,tract
92,"Census Tract 6705, Cook County, Illinois",1143.0,358.0,48.3,51.7,5.9,78.2,1.0,1.8,0.0,15.0,20.7,79.3,8.4,12.1,43.1,9.1,3.5,0.0,26087.0,26.2,73.8,15.6,17,031,670500
93,"Census Tract 6719, Cook County, Illinois",1241.0,328.0,70.4,29.6,3.7,89.4,0.0,0.0,0.0,6.9,9.1,90.9,9.7,13.0,34.9,5.6,7.2,3.9,48095.0,28.4,71.6,13.9,17,031,671900
94,"Census Tract 8300.06, Cook County, Illinois",2118.0,1007.0,70.1,29.9,38.3,64.0,3.6,3.9,0.0,0.0,6.1,93.9,3.1,2.4,31.3,12.1,26.1,7.3,54620.0,19.1,80.9,20.6,17,031,830006
95,"Census Tract 8302.01, Cook County, Illinois",5595.0,2295.0,38.2,61.8,15.0,83.0,0.9,2.0,0.0,1.5,1.9,98.1,2.5,3.2,21.2,9.9,20.6,14.2,42171.0,20.3,79.7,11.3,17,031,830201
96,"Census Tract 8088, Cook County, Illinois",3764.0,1357.0,74.4,25.6,87.6,3.6,0.0,9.2,0.0,2.1,7.1,92.9,0.0,0.0,4.5,1.3,39.2,49.6,128875.0,20.5,79.5,15.1,17,031,808800
97,"Census Tract 8092, Cook County, Illinois",4678.0,1477.0,44.3,55.7,34.3,58.6,0.6,2.6,0.7,9.5,29.2,70.8,9.3,7.1,30.3,7.7,14.2,8.3,48575.0,26.3,73.7,10.2,17,031,809200
98,"Census Tract 8105.01, Cook County, Illinois",5170.0,1853.0,85.9,14.1,95.4,0.5,0.3,4.2,0.0,0.3,11.7,88.3,4.6,4.1,34.6,8.8,20.4,8.8,74837.0,16.3,83.7,22.7,17,031,810501
99,"Census Tract 8111, Cook County, Illinois",6077.0,2611.0,50.4,49.6,91.9,0.0,0.3,1.4,0.0,8.4,24.5,75.5,4.5,5.9,42.3,7.0,13.8,5.2,39893.0,17.1,82.9,15.7,17,031,811100
100,"Census Tract 8112, Cook County, Illinois",5381.0,1910.0,79.8,20.2,85.0,3.4,0.8,2.1,0.0,12.5,30.6,69.4,2.9,4.8,37.1,9.3,14.8,7.2,57337.0,25.9,74.1,13.9,17,031,811200
101,"Census Tract 8125, Cook County, Illinois",3131.0,1509.0,40.5,59.5,61.6,32.6,0.8,2.9,1.5,3.2,7.6,92.4,3.2,8.5,13.3,5.0,30.8,25.4,53750.0,22.3,77.7,20.9,17,031,812500
102,"Census Tract 8127, Cook County, Illinois",3355.0,1553.0,48.8,51.2,72.1,24.8,0.8,5.2,0.0,3.2,9.0,91.0,0.3,2.8,11.2,4.7,27.4,39.5,57181.0,19.7,80.3,14.4,17,031,812700
103,"Census Tract 8140, Cook County, Illinois",5256.0,1385.0,58.1,41.9,52.1,2.9,0.5,0.9,0.0,43.6,84.7,15.3,26.6,9.0,33.4,7.0,6.5,1.0,46345.0,27.2,72.8,10.2,17,031,814000
104,"Census Tract 8150, Cook County, Illinois",3981.0,1218.0,45.1,54.9,59.9,9.3,0.5,6.0,0.7,27.3,68.8,31.2,10.0,10.1,31.9,6.9,14.0,6.3,49056.0,25.5,74.5,10.8,17,031,815000
105,"Census Tract 8154, Cook County, Illinois",5037.0,2017.0,47.0,53.0,76.7,5.6,2.5,2.6,0.0,17.5,40.2,59.8,4.6,8.3,21.2,6.1,21.1,16.2,60625.0,23.1,76.9,13.4,17,031,815400
106,"Census Tract 8166, Cook County, Illinois",4687.0,1282.0,56.1,43.9,50.3,3.3,0.4,2.3,0.0,46.1,88.8,11.2,25.8,18.7,28.3,4.2,7.4,2.0,40726.0,30.0,70.0,6.1,17,031,816600
107,"Census Tract 8171.01, Cook County, Illinois",4594.0,1760.0,59.1,40.9,6.6,89.9,0.0,1.3,0.0,4.2,7.7,92.3,3.7,5.1,37.2,5.1,11.9,9.8,46558.0,19.9,80.1,15.2,17,031,817101
108,"Census Tract 8172, Cook County, Illinois",4717.0,1503.0,51.6,48.4,17.4,67.1,4.7,0.0,0.0,16.9,29.3,70.7,7.3,11.8,29.3,7.7,7.0,6.9,44798.0,28.5,71.5,11.6,17,031,817200
