,NAME,Home: Owner,Home: Renter,Race: White,Race: Black/AA,Race: AI/Alaskan,Race: Asian,Race: Hawaiian/PI,Race: Other,Ethnicty: Hisp.,Ethnicity: Non-Hisp.,Edu: < 9th grade,"Edu: HS, no diploma",Edu: HS Diploma,Edu: Associate's Degree,Edu: Bachelor's Degree,Edu: Grad/Prof Degree,Median HH Income ($),Age: 18+,Age: 65+,state,county,tract
829,"Census Tract 8304, Cook County, Illinois",80.4,19.6,45.1,56.2,2.4,0.5,0.0,2.1,6.0,94.0,7.9,7.2,22.9,10.0,13.2,10.0,48799.0,76.2,10.2,17,031,830400
830,"Census Tract 8007, Cook County, Illinois",91.8,8.2,90.6,0.2,0.0,9.9,0.0,0.0,3.6,96.4,0.0,1.2,4.5,2.0,40.3,45.5,200208.0,68.8,16.4,17,031,800700
831,"Census Tract 8025.03, Cook County, Illinois",79.3,20.7,75.5,2.3,0.2,18.7,0.0,4.0,8.0,92.0,1.8,4.9,19.9,7.5,35.4,12.6,71432.0,83.6,17.3,17,031,802503
832,"Census Tract 8017.01, Cook County, Illinois",91.7,8.3,87.6,2.1,0.0,12.2,0.0,1.2,3.2,96.8,0.0,0.5,9.8,6.7,37.9,33.0,128250.0,72.3,13.8,17,031,801701
833,"Census Tract 8019.02, Cook County, Illinois",91.6,8.4,91.1,0.0,0.0,11.9,0.0,0.5,1.0,99.0,0.9,1.4,9.0,4.4,42.5,27.0,142850.0,71.5,17.3,17,031,801902
834,"Census Tract 8020.02, Cook County, Illinois",85.2,14.8,82.8,1.9,0.0,14.8,0.0,1.1,2.8,97.2,2.6,1.9,19.6,7.0,31.2,23.4,101047.0,73.9,17.8,17,031,802002
835,"Census Tract 8025.04, Cook County, Illinois",93.3,6.7,81.4,0.7,0.0,13.0,0.0,5.7,36.4,63.6,8.5,9.4,30.5,4.5,19.5,9.8,70664.0,73.5,9.9,17,031,802504
836,"Census Tract 8027.02, Cook County, Illinois",78.6,21.4,81.3,0.7,0.2,18.7,0.0,0.3,4.6,95.4,6.7,4.8,24.7,6.9,23.1,13.0,84830.0,79.6,18.1,17,031,802702
837,"Census Tract 8030.08, Cook County, Illinois",89.2,10.8,89.2,3.8,0.0,7.8,0.0,0.0,8.8,91.2,2.4,0.9,22.6,7.5,31.1,19.5,99044.0,74.6,15.1,17,031,803008
838,"Census Tract 8032, Cook County, Illinois",87.5,12.5,90.7,1.4,0.0,7.2,0.0,2.3,11.1,88.9,2.1,2.8,28.1,6.6,25.6,15.6,88966.0,81.2,33.6,17,031,803200
839,"Census Tract 8035, Cook County, Illinois",86.0,14.0,96.6,0.4,0.0,3.5,0.0,0.7,1.4,98.6,1.2,1.2,16.6,6.1,36.3,25.3,89679.0,73.6,18.4,17,031,803500
840,"Census Tract 8041.02, Cook County, Illinois",99.4,0.6,87.5,0.7,0.0,12.1,1.0,0.0,4.3,95.7,1.5,4.0,13.6,3.5,35.8,30.3,123611.0,74.8,16.4,17,031,804102
841,"Census Tract 8245.05, Cook County, Illinois",71.4,28.6,89.8,6.1,0.0,1.1,0.0,5.2,11.6,88.4,1.7,7.3,27.7,7.3,15.0,7.8,57220.0,73.8,8.9,17,031,824505
842,"Census Tract 8259, Cook County, Illinois",63.7,36.3,40.1,48.4,0.4,0.7,0.0,11.4,31.2,68.8,7.1,9.2,31.4,6.0,6.5,2.3,41689.0,72.4,10.6,17,031,825900
